m/z,Average,Tryp R05,IMS199_Chemo_Left_4K,IMS199_Control_Right_Bottom_4K,IMS199_Control_Right_Top_4K
1320.4997559,1.41983,1.27557,1.31351,1.51436,1.4857
1321.1958008,1.5471,1.68084,1.50638,1.60122,1.47732
1321.8918457,1.47059,2.78512,1.45906,1.29159,1.13649
1322.5878906,1.37334,2.46184,1.24959,1.30864,1.25226
1323.2839355,1.42803,1.85123,1.3565,1.48045,1.36452
1323.9799805,1.45563,1.72797,1.52735,1.42876,1.2552
1324.6760254,1.28455,1.55587,1.32984,1.23116,1.17537
1325.3719482,1.43097,1.62657,1.35432,1.51833,1.42272
1326.0679932,6.71414,1.52056,8.11856,7.79977,5.57877
1326.7640381,2.98637,1.55238,4.02779,2.05271,2.55261
1327.460083,4.41065,2.65944,3.39368,6.37208,5.27841
1328.1561279,2.92033,2.13594,3.11061,3.22682,2.69277
1328.8521729,1.65757,2.40135,1.83863,1.45718,1.31804
1329.5482178,1.57697,1.87544,1.32372,1.83821,1.7093
1330.2442627,1.64253,1.58593,1.65967,1.76065,1.57668
1330.9403076,1.55895,1.56401,1.75935,1.55057,1.29057
1331.6363525,1.39969,1.49753,1.33547,1.45409,1.44464
1332.3322754,1.49518,1.52235,1.45215,1.62601,1.48765
1333.0283203,1.45179,1.50906,1.53066,1.48327,1.29766
1333.7243652,1.34538,1.6313,1.42198,1.27809,1.19315
1334.4204102,1.45771,1.5344,1.3408,1.63405,1.4929
1335.1164551,1.65725,1.49973,1.701,1.80102,1.56389
1335.8125,1.4846,1.42928,1.76303,1.3807,1.15721
1336.5085449,1.50414,1.37466,1.31325,1.73512,1.67482
1337.2045898,2.05223,1.34789,2.1939,2.22694,1.94875
1337.9006348,1.61671,1.3615,1.96772,1.50355,1.25049
1338.5965576,1.47203,1.32781,1.29686,1.67426,1.65456
1339.2926025,1.66774,1.61457,1.67856,1.73681,1.55845
1339.9886475,1.49511,1.33071,1.66065,1.49478,1.27834
1340.6846924,1.42555,1.59944,1.39806,1.42751,1.39169
1341.3807373,1.53266,1.43851,1.48801,1.66673,1.52574
1342.0767822,1.78718,1.30715,1.92666,1.89895,1.65067
1342.7728271,1.37442,1.31889,1.55255,1.26872,1.20318
1343.4688721,1.50478,1.68258,1.31655,1.72619,1.59498
1344.164917,1.5166,1.88786,1.52005,1.56386,1.40492
1344.8609619,1.35192,1.90549,1.45534,1.2458,1.11715
1345.5568848,1.36998,2.00556,1.23374,1.4232,1.35786
1346.2529297,1.46159,1.75485,1.42506,1.49828,1.39963
1346.9489746,1.38713,1.65493,1.47119,1.35419,1.19468
1347.6450195,1.37943,1.69958,1.41033,1.31612,1.2674
1348.3410645,1.85182,1.68924,1.71481,2.18026,1.91869
1349.0371094,1.73931,1.55239,1.91757,1.82705,1.46212
1349.7331543,1.58923,1.87777,1.68269,1.46482,1.46849
1350.4291992,1.9046,1.78301,1.66199,2.32959,2.05064
1351.1252441,1.80235,1.71704,1.8453,1.94829,1.68433
1351.821167,1.42363,1.804,1.55882,1.30421,1.20324
1352.5172119,1.49481,1.72638,1.32056,1.69875,1.57989
1353.2132568,1.56319,1.62638,1.58747,1.63611,1.46758
1353.9093018,1.77542,1.62164,1.97271,1.74785,1.53
1354.6053467,1.51995,1.62842,1.50863,1.5311,1.48988
1355.3013916,1.88471,1.60533,1.80806,2.09614,1.91301
1355.9974365,1.61724,1.5561,1.77181,1.63692,1.37536
1356.6934814,1.35513,1.57181,1.29386,1.38343,1.3805
1357.3895264,1.4149,1.56031,1.33272,1.5515,1.4247
1358.0855713,1.37055,1.42978,1.403,1.43265,1.25411
1358.7814941,1.24089,1.51253,1.33609,1.16135,1.09241
1359.4775391,1.36272,1.66701,1.22902,1.50501,1.39494
1360.173584,1.46944,1.66443,1.48681,1.52829,1.35627
1360.8696289,1.32183,1.79154,1.43951,1.22709,1.09693
1361.5656738,1.40148,1.81099,1.33506,1.44517,1.37312
1362.2617188,1.70822,1.72279,1.65427,1.85519,1.69248
1362.9577637,1.59514,1.67317,1.77916,1.57726,1.32109
